"Time of Day,""Process Name"",""PID"",""Operation"",""Path"",""Result"",""Detail""";;;;;;;;;;;;
"6:04:42.6826125 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Process Start"","""",""SUCCESS"",""Parent PID: 13580, Command line: """"C:\Program Files (x86)\Phoenix Technologies\VZSoft 3.0.2_x64\Multi-Tracker Detection_x64.exe"""" , Current directory: C:\Program Files (x86)\Phoenix Technologies\VZSoft 3.0.2_x64\, Environment: ";;;;;;;;;;;;
;"	=::=::\";;;;;;;;;;;
;"	ALLUSERSPROFILE=C:\ProgramData";;;;;;;;;;;
;"	APPDATA=C:\Users\user\AppData\Roaming";;;;;;;;;;;
;"	CommonProgramFiles=C:\Program Files\Common Files";;;;;;;;;;;
;"	CommonProgramFiles(x86)=C:\Program Files (x86)\Common Files";;;;;;;;;;;
;"	CommonProgramW6432=C:\Program Files\Common Files";;;;;;;;;;;
;"	COMPUTERNAME=DESKTOP-48S0QHI";;;;;;;;;;;
;"	ComSpec=C:\Windows\system32\cmd.exe";;;;;;;;;;;
;"	DH_RemoteToolsInstallDir=C:\Program Files\Microsoft Visual Studio 18.0\";;;;;;;;;;;
;"	DriverData=C:\Windows\System32\Drivers\DriverData";;;;;;;;;;;
;"	FPS_BROWSER_APP_PROFILE_STRING=Internet Explorer";;;;;;;;;;;
;"	FPS_BROWSER_USER_PROFILE_STRING=Default";;;;;;;;;;;
;"	HOMEDRIVE=C:";;;;;;;;;;;
;"	HOMEPATH=\Users\user";;;;;;;;;;;
;"	LOCALAPPDATA=C:\Users\user\AppData\Local";;;;;;;;;;;
;"	LOGONSERVER=\\DESKTOP-48S0QHI";;;;;;;;;;;
;"	NUMBER_OF_PROCESSORS=8";;;;;;;;;;;
;"	OneDrive=C:\Users\user\OneDrive";;;;;;;;;;;
;"	OS=Windows_NT";;;;;;;;;;;
;"	Path=C:\Windows\system32";C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Windows\System32\OpenSSH\;C:\Program Files\dotnet\;C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL;C:\Program Files\Intel\Intel(R) Management Engine Components\DAL;C:\Python34;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Users\user\AppData\Local\Microsoft\WindowsApps;
;"	PATHEXT=.COM";.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.PY
;"	PROCESSOR_ARCHITECTURE=AMD64";;;;;;;;;;;
;"	PROCESSOR_IDENTIFIER=Intel64 Family 6 Model 85 Stepping 7, GenuineIntel";;;;;;;;;;;
;"	PROCESSOR_LEVEL=6";;;;;;;;;;;
;"	PROCESSOR_REVISION=5507";;;;;;;;;;;
;"	ProgramData=C:\ProgramData";;;;;;;;;;;
;"	ProgramFiles=C:\Program Files";;;;;;;;;;;
;"	ProgramFiles(x86)=C:\Program Files (x86)";;;;;;;;;;;
;"	ProgramW6432=C:\Program Files";;;;;;;;;;;
;"	PSModulePath=C:\Program Files\WindowsPowerShell\Modules";C:\Windows\system32\WindowsPowerShell\v1.0\Modules;;;;;;;;;;
;"	PUBLIC=C:\Users\Public";;;;;;;;;;;
;"	SESSIONNAME=Console";;;;;;;;;;;
;"	SystemDrive=C:";;;;;;;;;;;
;"	SystemRoot=C:\Windows";;;;;;;;;;;
;"	TEMP=C:\Users\user\AppData\Local\Temp";;;;;;;;;;;
;"	TMP=C:\Users\user\AppData\Local\Temp";;;;;;;;;;;
;"	USERDOMAIN=DESKTOP-48S0QHI";;;;;;;;;;;
;"	USERDOMAIN_ROAMINGPROFILE=DESKTOP-48S0QHI";;;;;;;;;;;
;"	USERNAME=user";;;;;;;;;;;
;"	USERPROFILE=C:\Users\user";;;;;;;;;;;
;"	windir=C:\Windows""";;;;;;;;;;;
"6:04:42.6826276 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Thread Create"","""",""SUCCESS"",""Thread ID: 5752""";;;;;;;;;;;;
"6:04:42.6891965 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Load Image"",""C:\Program Files (x86)\Phoenix Technologies\VZSoft 3.0.2_x64\Multi-Tracker Detection_x64.exe"",""SUCCESS"",""Image Base: 0x7ff6bb2c0000, Image Size: 0x2fe000""";;;;;;;;;;;;
"6:04:42.6893678 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Load Image"",""C:\windows\system32\ntdll.dll"",""SUCCESS"",""Image Base: 0x7fff54830000, Image Size: 0x1f8000""";;;;;;;;;;;;
"6:04:42.6895338 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Thread Exit"","""",""SUCCESS"",""Thread ID: 5752, User Time: 0.0000000, Kernel Time: 0.0156250""";;;;;;;;;;;;
"6:04:42.6903658 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""Process Exit"","""",""SUCCESS"",""Exit Status: -1073740756, User Time: 0.0000000 seconds, Kernel Time: 0.0156250 seconds, Private Bytes: 2,351,104, Peak Private Bytes: 2,351,104, Working Set: 1,544,192, Peak Working Set: 1,548,288""";;;;;;;;;;;;
"6:04:42.6904129 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""RegOpenKey"",""HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2528145642-1643454817-767309030-1001"",""SUCCESS"",""Desired Access: All Access""";;;;;;;;;;;;
"6:04:42.6904466 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""RegQueryValue"",""HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2528145642-1643454817-767309030-1001\\Device\HarddiskVolume3\Program Files (x86)\Phoenix Technologies\VZSoft 3.0.2_x64\Multi-Tracker Detection_x64.exe"",""SUCCESS"",""Type: REG_BINARY, Length: 24, Data: B0 00 E7 49 23 9F DC 01 00 00 00 00 00 00 00 00""";;;;;;;;;;;;
"6:04:42.6904765 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""RegSetValue"",""HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2528145642-1643454817-767309030-1001\\Device\HarddiskVolume3\Program Files (x86)\Phoenix Technologies\VZSoft 3.0.2_x64\Multi-Tracker Detection_x64.exe"",""SUCCESS"",""Type: REG_BINARY, Length: 24, Data: 5E 5F E8 49 23 9F DC 01 00 00 00 00 00 00 00 00""";;;;;;;;;;;;
"6:04:42.6906103 PM,""Multi-Tracker Detection_x64.exe"",""13396"",""RegCloseKey"",""HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2528145642-1643454817-767309030-1001"",""SUCCESS"",""""";;;;;;;;;;;;
